mukey,muname,ksat_um_s,theta_s_pct,theta_fc_pct,soil_depth_cm,ksat_m_s,porosity,Sy,soil_depth_m
3396009,Occum fine sandy loam,8.0,36.8,13.7600006103516,165,8e-06,0.368,0.23039999389648397,1.65
3396010,Pootatuck fine sandy loam,18.4,36.8,12.5599998474121,165,1.8399999999999997e-05,0.368,0.24240000152587896,1.65
3396011,Rippowam fine sandy loam,8.0,36.8,13.9199996948242,165,8e-06,0.368,0.228800003051758,1.65
3396019,"Walpole sandy loam, 0 to 3 percent slopes",79.9999206542969,52.0,44.2399993896484,165,7.99999206542969e-05,0.52,0.07760000610351597,1.65
3396023,"Timakwa and Natchaug soils, 0 to 2 percent slopes",8.5,57.8,49.0600006103516,200,8.5e-06,0.578,0.08739999389648397,2.0
3396024,"Catden and Freetown soils, 0 to 2 percent slopes",8.0,54.4,45.2700012207031,200,8e-06,0.544,0.09129998779296898,2.0
3396025,"Ridgebury fine sandy loam, 0 to 3 percent slopes",85.0,49.3,43.35,168,8.499999999999999e-05,0.493,0.059499999999999956,1.68
3400046,"Sudbury sandy loam, 0 to 5 percent slopes",80.0,0.0,0.0,152,7.999999999999999e-05,0.0,0.0,1.52
3400089,"Ridgebury, Leicester, and Whitman soils, 0 to 8 percent slopes, extremely stony",92.0,54.04,47.5319997406006,168,9.2e-05,0.5404,0.06508000259399402,1.68
3400094,"Udorthents-Pits complex, gravelly",29.4349994659424,32.2,16.5199995100498,203,2.9434999465942398e-05,0.322,0.15680000489950202,2.03
3400095,Udorthents-Urban land complex,5.0,21.0,12.3999996185303,200,4.9999999999999996e-06,0.21,0.086000003814697,2.0
3400096,Urban land,0.335999989509583,,,15,3.3599998950958297e-07,,,0.15
3400106,"Merrimac fine sandy loam, 0 to 3 percent slopes",86.0,31.82,14.62,165,8.599999999999999e-05,0.3182,0.17200000000000004,1.65
3400107,"Merrimac fine sandy loam, 3 to 8 percent slopes",86.0,31.82,14.62,165,8.599999999999999e-05,0.3182,0.17200000000000004,1.65
3400118,"Hinckley loamy sand, 3 to 15 percent slopes",85.0,49.3,43.35,165,8.499999999999999e-05,0.493,0.059499999999999956,1.65
3400119,"Hinckley loamy sand, 15 to 45 percent slopes",85.0,49.3,43.35,165,8.499999999999999e-05,0.493,0.059499999999999956,1.65
3400131,"Woodbridge fine sandy loam, 0 to 3 percent slopes",8.5,39.1,16.0649996757507,165,8.5e-06,0.391,0.23035000324249302,1.65
3400132,"Woodbridge fine sandy loam, 3 to 8 percent slopes",8.2,40.18,15.9079996871948,165,8.2e-06,0.4018,0.24272000312805198,1.65
3400133,"Woodbridge fine sandy loam, 8 to 15 percent slopes",8.5,39.1,16.0649996757507,165,8.5e-06,0.391,0.23035000324249302,1.65
3400134,"Woodbridge fine sandy loam, 0 to 8 percent slopes, very stony",82.0,47.56,41.82,170,8.2e-05,0.4756,0.05740000000000002,1.7
3400135,"Woodbridge fine sandy loam, 8 to 15 percent slopes, very stony",85.0,49.3,43.35,170,8.499999999999999e-05,0.493,0.059499999999999956,1.7
3400136,"Woodbridge fine sandy loam, 3 to 15 percent slopes, extremely stony",83.0,48.14,42.33,170,8.3e-05,0.4814,0.05810000000000002,1.7
3400143,"Sutton fine sandy loam, 3 to 8 percent slopes",8.0,40.8,15.6800003051758,152,8e-06,0.408,0.25119999694824197,1.52
3400144,"Sutton fine sandy loam, 0 to 8 percent slopes, very stony",85.0,49.3,43.35,157,8.499999999999999e-05,0.493,0.059499999999999956,1.57
3400153,"Gloucester gravelly sandy loam, 8 to 15 percent slopes",73.6,38.4,11.6,152,7.359999999999999e-05,0.384,0.26799999999999996,1.52
3400155,"Gloucester gravelly sandy loam, 3 to 8 percent slopes, very stony",73.6,38.4,11.6,152,7.359999999999999e-05,0.384,0.26799999999999996,1.52
3400156,"Gloucester gravelly sandy loam, 8 to 15 percent slopes, very stony",73.6,38.4,11.6,152,7.359999999999999e-05,0.384,0.26799999999999996,1.52
3400158,"Gloucester gravelly sandy loam, 15 to 35 percent slopes, extremely stony",73.6,38.4,11.6,152,7.359999999999999e-05,0.384,0.26799999999999996,1.52
3400160,"Canton and Charlton fine sandy loams, 3 to 8 percent slopes",8.5,34.25,17.3999996185303,165,8.5e-06,0.3425,0.168500003814697,1.65
3400161,"Canton and Charlton fine sandy loams, 8 to 15 percent slopes",8.5,34.25,17.3999996185303,165,8.5e-06,0.3425,0.168500003814697,1.65
3400163,"Canton and Charlton fine sandy loams, 0 to 8 percent slopes, very stony",85.0,50.7,43.875,170,8.499999999999999e-05,0.507,0.06825000000000003,1.7
3400164,"Canton and Charlton fine sandy loams, 8 to 15 percent slopes, very stony",85.0,50.7,43.875,170,8.499999999999999e-05,0.507,0.06825000000000003,1.7
3400166,"Canton and Charlton fine sandy loams, 15 to 35 percent slopes, extremely stony",85.0,50.5,43.8,170,8.499999999999999e-05,0.505,0.06700000000000003,1.7
3400184,"Charlton-Chatfield complex, 0 to 15 percent slopes, very rocky",80.0,48.4,43.65,165,7.999999999999999e-05,0.484,0.0475,1.65
3400185,"Charlton-Chatfield complex, 15 to 45 percent slopes, very rocky",12.9,18.0,7.06499991416931,203,1.29e-05,0.18,0.1093500008583069,2.03
3400206,"Paxton and Montauk fine sandy loams, 3 to 8 percent slopes",8.5,38.9,15.6500000953674,165,8.5e-06,0.389,0.23249999904632598,1.65
3400207,"Paxton and Montauk fine sandy loams, 8 to 15 percent slopes",8.5,39.1,15.8249999046326,184,8.5e-06,0.391,0.23275000095367404,1.84
3400208,"Paxton and Montauk fine sandy loams, 15 to 25 percent slopes",8.5,39.1,15.8249999046326,184,8.5e-06,0.391,0.23275000095367404,1.84
3400209,"Paxton and Montauk fine sandy loams, 3 to 8 percent slopes, very stony",85.0,49.3,43.35,189,8.499999999999999e-05,0.493,0.059499999999999956,1.89
3400210,"Paxton and Montauk fine sandy loams, 8 to 15 percent slopes, very stony",85.0,49.3,43.35,189,8.499999999999999e-05,0.493,0.059499999999999956,1.89
3400212,"Paxton and Montauk fine sandy loams, 15 to 35 percent slopes, extremely stony",85.0,49.3,43.35,189,8.499999999999999e-05,0.493,0.059499999999999956,1.89
